Score: 0.7708458304405212 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 8.723156929016113 -1.8150150775909424 -1.4563044309616089 0.6022824048995972 1.0663846731185913 1.8639726638793945 3.0297508239746094
Score: 0.7696949243545532 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 4.723844528198242 5.959116458892822 -1.5814342498779297 0.5993400812149048 0.9217771887779236 1.815126657485962 -0.200998917222023
Score: 0.728988766670227 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 1.9484869241714478 2.8699610233306885 -1.5956648588180542 0.6384427547454834 0.927371621131897 1.7022664546966553 1.380691409111023
Score: 0.597737729549408 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 8.704280853271484 -1.7883094549179077 -1.5713887214660645 0.6556916832923889 1.0144832134246826 1.8043320178985596 1.1752827167510986
Score: 0.5049874782562256 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 1.2114595174789429 4.374424934387207 -1.6261669397354126 0.6747745871543884 0.8916944861412048 1.6978144645690918 0.7901740074157715
Score: 0.3755156397819519 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 2.1678552627563477 3.8361573219299316 -1.61663818359375 0.5419152975082397 0.8556305170059204 1.7474613189697266 -0.4366150498390198
Score: 0.35848355293273926 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 3.355536699295044 4.888915061950684 -1.2408510446548462 0.6466796398162842 0.9077650308609009 1.6786562204360962 -0.654803991317749
Score: 0.2126680165529251 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 5.671041965484619 -3.2274556159973145 -1.9735465049743652 0.6305090188980103 0.759667158126831 1.6178460121154785 -0.4376647174358368
Score: 0.16341464221477509 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 8.086320877075195 -8.312821388244629 -1.235034704208374 0.6203938722610474 0.687251627445221 1.7252509593963623 -0.1950823813676834
Score: 0.1519365906715393 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 1.5221461057662964 2.898226022720337 -1.303173542022705 0.6520434021949768 1.0084140300750732 1.735184669494629 1.2971243858337402
Score: 0.14953234791755676 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 1.35166597366333 4.229236602783203 -1.6379766464233398 0.6042187213897705 0.9540502429008484 1.7462570667266846 3.876828193664551
Score: 0.1440182775259018 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 4.736295700073242 6.169126987457275 -1.584097146987915 0.6681036949157715 0.9793266654014587 1.7770978212356567 0.9795489311218262
Score: 0.14055216312408447 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 8.733574867248535 -1.5260117053985596 -1.755178689956665 0.6112363338470459 1.0873973369598389 1.7034837007522583 1.460024356842041
Score: 0.13095955550670624 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.300440788269043 -9.030303001403809 -0.8412394523620605 0.4196678698062897 1.682865858078003 1.6870518922805786 4.665283203125
Score: 0.12742508947849274 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 1.959157109260559 3.777496099472046 -1.6252562999725342 0.6047977209091187 1.0340968370437622 1.7595465183258057 4.672656536102295
Score: 0.12351824343204498 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 4.62033224105835 5.918529510498047 -1.541294813156128 0.5098055601119995 1.1002211570739746 1.8160392045974731 4.756252288818359
Score: 0.12219253927469254 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 8.778973579406738 -1.9976469278335571 -1.5603010654449463 0.6827161908149719 1.041632056236267 1.7626279592514038 1.5913350582122803
Score: 0.12040568143129349 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 2.9518485069274902 -3.480928897857666 -1.9567099809646606 0.622208833694458 1.5306673049926758 1.5611448287963867 4.482382297515869
Score: 0.11948799341917038 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 2.648926019668579 4.35233736038208 -1.4937634468078613 0.5025489926338196 0.7932549118995667 1.7106256484985352 -0.614621102809906
Score: 0.11516086012125015 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 15.29527759552002 2.8243565559387207 -1.3570220470428467 0.35756275057792664 1.6663134098052979 1.8155561685562134 3.1511383056640625
Score: 0.11460677534341812 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 2.8661155700683594 -3.520103693008423 -2.148320198059082 0.7311368584632874 0.7287294268608093 1.5767685174942017 -0.45369818806648254
Score: 0.11313410848379135 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 8.821527481079102 -1.5930864810943604 -1.6790597438812256 0.5593808889389038 1.090246558189392 1.7459042072296143 2.95933198928833
Score: 0.11271951347589493 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.24904140830039978 -15.690491676330566 -1.276183843612671 0.5977187156677246 1.8139925003051758 1.7454478740692139 3.2854793071746826
Score: 0.09802694618701935 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.292999267578125 -8.706741333007812 -0.7634500861167908 0.37921568751335144 1.6734240055084229 1.7067339420318604 5.159985542297363
Score: 0.09798493981361389 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.274373054504395 -8.408921241760254 -1.0272650718688965 0.33588021993637085 1.6707929372787476 1.693056344985962 5.236520767211914
Score: 0.09597998857498169 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 18.758060455322266 -16.263336181640625 -1.1127464771270752 0.5956007242202759 0.7151357531547546 1.7250722646713257 1.9148489236831665
Score: 0.0938156247138977 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.354728698730469 -9.187231063842773 -0.8892208337783813 0.414873331785202 1.6775389909744263 1.6555155515670776 4.402056694030762
Score: 0.09158544987440109 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.303621292114258 -8.859304428100586 -0.8014932870864868 0.3786179721355438 1.678454041481018 1.7232470512390137 5.065532207489014
Score: 0.08823847025632858 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 2.297713279724121 4.010001182556152 -1.4833513498306274 0.5593106150627136 0.9871422648429871 1.7358646392822266 2.482875108718872
Score: 0.0870392918586731 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 19.4781551361084 -18.185405731201172 -0.9126549959182739 0.5413628816604614 1.4255399703979492 1.73048734664917 1.3665554523468018
