Score: 0.34342437982559204 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 46.14958190917969 -4.650984287261963 -0.8565995693206787 0.4423125982284546 1.69614577293396 1.7939715385437012 4.542994499206543
Score: 0.16303187608718872 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.22498883306980133 12.239359855651855 -1.4254355430603027 0.6563318967819214 1.8033033609390259 1.7145986557006836 0.3695608079433441
Score: 0.09987317770719528 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.22848767042160034 19.799604415893555 -1.5904606580734253 0.512516975402832 1.7901601791381836 1.6561578512191772 3.7216796875
Score: 0.0872512087225914 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.21314460039138794 13.06932544708252 -1.0934746265411377 0.6391327381134033 1.6917694807052612 1.741626501083374 0.1307584047317505
Score: 0.08102887123823166 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 47.10440444946289 -2.930656909942627 -1.4318516254425049 0.34814655780792236 1.5815223455429077 1.6658135652542114 4.474140644073486
Score: 0.07790499180555344 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.07045707106590271 14.082420349121094 -1.1960500478744507 0.6592370271682739 1.7949844598770142 1.704890489578247 3.391983985900879
Score: 0.07691889256238937 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.0960707738995552 19.434925079345703 -1.4726033210754395 0.5706735253334045 1.8558542728424072 1.6959939002990723 0.3267059624195099
Score: 0.06911774724721909 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.79555892944336 -7.3831467628479 -1.0426757335662842 0.531906008720398 1.6762961149215698 1.9087337255477905 0.5934790372848511
Score: 0.0682746171951294 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 47.00481033325195 -2.820791006088257 -1.4365811347961426 0.35984137654304504 1.5604549646377563 1.668116807937622 4.297819137573242
Score: 0.06340004503726959 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 30.445571899414062 -9.030913352966309 -0.8736094832420349 0.6625994443893433 0.658640444278717 1.803241491317749 -0.9978787302970886
Score: 0.06039673089981079 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 46.118675231933594 -4.571082592010498 -0.8678649067878723 0.48251911997795105 1.6712794303894043 1.8225693702697754 3.4739248752593994
Score: 0.057604677975177765 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 31.828596115112305 -9.693558692932129 -0.703917920589447 0.5805054306983948 1.483237862586975 1.7853050231933594 1.1872961521148682
Score: 0.057101208716630936 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.03145340457558632 -5.753191947937012 -1.3779895305633545 0.6547238826751709 1.750357985496521 1.7749963998794556 3.3160696029663086
Score: 0.056909509003162384 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 46.49452590942383 -4.46935510635376 -0.8840898275375366 0.4172198176383972 1.6759934425354004 1.8160532712936401 4.391376495361328
Score: 0.05138901621103287 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 45.85055160522461 -4.590763092041016 -0.9031050801277161 0.5041702389717102 1.7357735633850098 1.7666478157043457 4.57635498046875
Score: 0.05129009485244751 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 25.675928115844727 -7.307625770568848 -1.048133134841919 0.5303745865821838 1.6668816804885864 1.8792405128479004 0.9960926175117493
Score: 0.050804637372493744 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 38.3129768371582 19.798242568969727 -1.9598684310913086 0.46110931038856506 1.5833345651626587 1.6333060264587402 4.355420112609863
