Score: 0.1483863741159439 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.094855308532715 -3.4298646450042725 -1.3904424905776978 0.5039990544319153 1.7055096626281738 2.0327234268188477 4.847384452819824
Score: 0.10899944603443146 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 47.0997200012207 6.5132832527160645 -2.0647330284118652 0.4086928963661194 1.599368691444397 1.810512661933899 4.722455978393555
Score: 0.09613668918609619 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 10.471139907836914 5.53928279876709 -1.8199868202209473 0.3331640958786011 1.6119967699050903 1.6989151239395142 4.830874443054199
Score: 0.0913398265838623 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 11.948503494262695 -3.2232518196105957 -1.6803914308547974 0.5834532380104065 1.73135244846344 2.0478522777557373 1.6552633047103882
Score: 0.08055748790502548 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 0.8560895323753357 1.1957653760910034 -1.515351414680481 0.6567602753639221 0.7508170008659363 1.7373144626617432 0.8472071290016174
Score: 0.08046311885118484 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.497941017150879 -2.8355214595794678 -1.453101396560669 0.6650724411010742 1.7551047801971436 1.7465944290161133 3.3988747596740723
Score: 0.07978884130716324 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.2244924008846283 7.238476753234863 -1.2432444095611572 0.6515231728553772 1.6440982818603516 1.6784569025039673 0.3372423052787781
Score: 0.07629498094320297 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 0.5345864295959473 1.340098261833191 -1.4830738306045532 0.6679873466491699 0.7152119874954224 1.7151912450790405 0.9419940114021301
Score: 0.07597946375608444 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.06356292963027954 -4.4813995361328125 -1.528795838356018 0.6756054759025574 1.4156707525253296 1.7838771343231201 2.811082363128662
Score: 0.07320830225944519 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 10.635416984558105 5.638243198394775 -1.7107278108596802 0.3385746479034424 1.6486709117889404 1.7193547487258911 4.789213180541992
Score: 0.06682732701301575 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 1.1736112833023071 1.2190220355987549 -1.437024474143982 0.6889547109603882 0.7627213597297668 1.714299201965332 3.867290496826172
Score: 0.06611399352550507 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.18279266357422 -3.354403018951416 -1.979447603225708 0.5773258805274963 1.643268346786499 1.6509507894515991 4.35913610458374
Score: 0.0637299045920372 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 0.07163402438163757 -4.39414644241333 -1.6444432735443115 0.631126880645752 0.9101663827896118 1.7763240337371826 1.7834278345108032
Score: 0.060468532145023346 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 46.18889617919922 -4.510375499725342 -1.185483455657959 0.6195054650306702 0.5951844453811646 1.8257791996002197 2.6564087867736816
Score: 0.060357555747032166 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 0.07383432984352112 -4.209946632385254 -1.6109833717346191 0.5708580613136292 0.9385393261909485 1.7745941877365112 2.9277892112731934
Score: 0.05895287171006203 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 47.21454620361328 6.362211227416992 -1.935333013534546 0.45345422625541687 1.6153483390808105 1.8315134048461914 4.973637580871582
Score: 0.058828797191381454 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.227273941040039 -2.788335084915161 -1.391817331314087 0.6266494393348694 1.641996145248413 1.7110490798950195 3.280496835708618
Score: 0.05483175814151764 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.555352210998535 -3.0993423461914062 -1.5036207437515259 0.644479513168335 1.7424556016921997 1.7672923803329468 4.584012031555176
Score: 0.054544754326343536 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 43.72052764892578 -5.481308460235596 -1.6214723587036133 0.5956280827522278 0.7498473525047302 1.8447729349136353 2.381359338760376
Score: 0.05420098826289177 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 3.1896066665649414 -3.1235055923461914 -1.4986456632614136 0.5921124815940857 0.7406082153320312 1.6610050201416016 0.4932118058204651
Score: 0.05419907346367836 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.1080379486084 -3.326659917831421 -1.9714210033416748 0.6732662320137024 1.7233953475952148 1.6244275569915771 3.5355687141418457
Score: 0.05173201486468315 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.04456078261137009 -3.944063186645508 -1.3981916904449463 0.6875370740890503 1.5743741989135742 1.7684108018875122 3.129978895187378
Score: 0.05135917663574219 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 4.86230993270874 -9.682145118713379 -1.0457991361618042 0.5179567933082581 1.7097594738006592 1.6507148742675781 4.634824752807617
Score: 0.05122048407793045 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 0.8938582539558411 -5.197343826293945 -1.5650466680526733 0.7026711106300354 0.6830711960792542 1.6772618293762207 -0.0005887988954782486
Score: 0.05057597905397415 Label: 1 Box(x_c, y_c, z_c, w, l, h, -rot): 0.0705251693725586 -3.9371731281280518 -1.5631190538406372 0.5598064661026001 0.8246540427207947 1.7398300170898438 0.13454894721508026
Score: 0.0503578782081604 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.7248408794403076 6.150771617889404 -1.7543529272079468 0.6985350847244263 1.685524582862854 1.8336175680160522 0.4148613214492798
