Score: 0.5062219500541687 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 5.113677501678467 -5.032543659210205 -1.7355574369430542 1.5585721731185913 3.612398386001587 1.424084186553955 4.624051094055176
Score: 0.480612576007843 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.407547950744629 13.462447166442871 -1.2124385833740234 1.6715717315673828 3.8750035762786865 1.5417420864105225 0.1141233742237091
Score: 0.22229726612567902 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.8297203779220581 -4.761116027832031 -1.589258074760437 1.6382826566696167 3.693131685256958 1.5656620264053345 0.11999161541461945
Score: 0.211875781416893 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 3.3624989986419678 -14.100898742675781 -0.8091356158256531 1.628538727760315 3.885106325149536 1.6026841402053833 -0.41669052839279175
Score: 0.20582209527492523 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.193576842546463 -4.713742733001709 -1.5938271284103394 1.576926589012146 3.5966174602508545 1.5118404626846313 1.3287508487701416
Score: 0.17300549149513245 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.45928841829299927 7.673529624938965 -0.9828588366508484 1.640191674232483 3.6664881706237793 1.5845504999160767 3.2592804431915283
Score: 0.1679295301437378 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 3.3675119876861572 -8.877595901489258 -1.4988043308258057 1.606666922569275 3.6574361324310303 1.587802529335022 0.025489207357168198
Score: 0.15696530044078827 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 1.1422313451766968 -8.882429122924805 -0.7438559532165527 1.6190077066421509 3.7319564819335938 1.4781246185302734 0.07912776619195938
Score: 0.1396946758031845 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 48.22891616821289 -13.01919937133789 -0.576823353767395 1.7870372533798218 4.502440929412842 1.8688554763793945 4.852033615112305
Score: 0.1336839497089386 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.44040656089782715 16.87989044189453 -0.9711856245994568 1.5825177431106567 3.600348472595215 1.5256731510162354 3.0422422885894775
Score: 0.12997308373451233 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.211560249328613 14.683595657348633 -1.0544867515563965 1.657263994216919 3.8362386226654053 1.51100754737854 3.3255858421325684
Score: 0.1265239268541336 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.11637125164270401 -19.620765686035156 -1.125417709350586 1.6556185483932495 4.196792125701904 1.5849103927612305 2.790440082550049
Score: 0.1262381374835968 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 24.233264923095703 18.653926849365234 -1.7612104415893555 1.6509193181991577 4.171993732452393 1.5486509799957275 4.851837158203125
Score: 0.11950192600488663 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 4.668517589569092 -4.7848124504089355 -1.7404611110687256 1.5765235424041748 3.5959837436676025 1.4107493162155151 3.658864736557007
Score: 0.11933621019124985 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.1050753965973854 -7.543678283691406 -1.224078893661499 1.6019846200942993 3.848151922225952 1.4870961904525757 1.8795313835144043
Score: 0.1178235113620758 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.06473731994628906 2.3427035808563232 -1.5097357034683228 1.6161655187606812 3.8215649127960205 1.5470770597457886 2.1447465419769287
Score: 0.11688312143087387 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 20.328685760498047 18.74372673034668 -1.7363369464874268 1.54923415184021 4.1714582443237305 1.5088876485824585 1.270961880683899
Score: 0.1138995885848999 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.055091023445129395 1.7844761610031128 -1.6138207912445068 1.5224878787994385 3.4113006591796875 1.5209113359451294 1.840541124343872
