Score: 0.8784103393554688 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 34.80655288696289 -3.2080371379852295 -2.0332586765289307 1.5894606113433838 4.064435958862305 1.410879135131836 1.5534207820892334
Score: 0.41640505194664 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 13.540731430053711 -35.01203155517578 -1.9452807903289795 1.5811508893966675 3.391596794128418 1.4346798658370972 2.0819921493530273
Score: 0.3348328173160553 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.387823104858398 -24.986587524414062 -3.1400656700134277 1.6777740716934204 3.8409423828125 1.6540290117263794 3.6480042934417725
Score: 0.283801406621933 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 60.212581634521484 0.8952150344848633 -3.065115451812744 1.412134051322937 4.446771621704102 1.673711895942688 -0.6485509872436523
Score: 0.2687816321849823 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.953705787658691 -25.012340545654297 -2.992513656616211 1.7577663660049438 3.827219247817993 1.5019651651382446 -0.04315199330449104
Score: 0.19148217141628265 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 6.299995422363281 5.913554668426514 -1.4233651161193848 1.625954508781433 4.075486183166504 1.4650077819824219 3.2526488304138184
Score: 0.15571999549865723 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 10.17360782623291 -38.15625 -1.7450205087661743 1.6497669219970703 4.066924095153809 1.556836724281311 0.619390606880188
Score: 0.13299506902694702 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 17.253068923950195 4.325570106506348 -2.037041664123535 1.6485828161239624 3.936230182647705 1.4902660846710205 4.024045467376709
Score: 0.12005085498094559 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.532265663146973 -3.195749044418335 -1.383815884590149 1.4710631370544434 3.050163507461548 1.6021862030029297 4.871943473815918
Score: 0.1168937012553215 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.713631629943848 -25.38471221923828 -2.864716053009033 1.8088725805282593 4.076335906982422 1.4349802732467651 2.5824825763702393
Score: 0.11562305688858032 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.050177574157715 -24.797855377197266 -2.96596097946167 1.7851152420043945 3.6499340534210205 1.5455482006072998 4.721878528594971
Score: 0.11140207201242447 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 2.4784393310546875 -10.723031044006348 -1.8303141593933105 1.5934871435165405 4.215404510498047 1.4456464052200317 3.241755962371826
Score: 0.11007867753505707 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.188774108886719 -24.416086196899414 -3.1724886894226074 1.708957552909851 3.6859068870544434 1.6534769535064697 4.170623302459717
Score: 0.10391432791948318 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 1.6603763103485107 -9.39581298828125 -1.8914943933486938 1.6282709836959839 3.9965929985046387 1.5114383697509766 4.677457809448242
Score: 0.09840171784162521 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.789705276489258 3.620640754699707 -2.0956521034240723 1.5508993864059448 3.480278491973877 1.4693560600280762 -0.34738460183143616
Score: 0.09825550764799118 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 62.15157699584961 -5.581774711608887 -1.4526488780975342 1.605520486831665 3.8463830947875977 1.5696948766708374 1.5829726457595825
Score: 0.09076389670372009 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 6.807475566864014 5.724820613861084 -1.4616284370422363 1.6113580465316772 3.900543212890625 1.462685227394104 0.416875958442688
Score: 0.08561912178993225 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.74585723876953 3.9420392513275146 -2.0290908813476562 1.5550678968429565 3.4847800731658936 1.456598162651062 1.5302743911743164
Score: 0.08496753871440887 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 2.9654581546783447 -10.479240417480469 -1.7880339622497559 1.5915778875350952 3.858062744140625 1.4499174356460571 -0.058383386582136154
Score: 0.08199620246887207 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.824634552001953 2.900130271911621 -2.11629056930542 1.553067684173584 3.5142581462860107 1.4559885263442993 -0.708869457244873
Score: 0.08166378736495972 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 5.7345733642578125 6.020944118499756 -1.2939167022705078 1.6383436918258667 4.189230918884277 1.515913724899292 -0.24016712605953217
Score: 0.08160865306854248 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 44.984230041503906 3.9080100059509277 -1.1247828006744385 1.6054896116256714 4.098018646240234 1.5662604570388794 1.8762273788452148
Score: 0.07706880569458008 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.4202573895454407 -0.45737355947494507 -1.6083089113235474 1.596658706665039 3.707348346710205 1.4802231788635254 4.317818641662598
Score: 0.07601077109575272 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 10.662708282470703 -38.55451583862305 -1.7441326379776 1.6553783416748047 3.909853935241699 1.5296483039855957 0.9647444486618042
Score: 0.07585672289133072 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 7.402358531951904 4.994545936584473 -1.423953890800476 1.5974844694137573 3.6600239276885986 1.4416637420654297 4.4026594161987305
Score: 0.07389268279075623 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.622077941894531 -3.3703646659851074 -1.5138442516326904 1.582159399986267 3.674696207046509 1.6701794862747192 4.81167459487915
Score: 0.0701875314116478 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 36.13752746582031 -3.31571364402771 -1.8993964195251465 1.6530497074127197 4.126903057098389 1.4703394174575806 1.4377399682998657
Score: 0.06994903832674026 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 8.526616096496582 -4.542060852050781 -1.5130447149276733 1.6675691604614258 3.85550856590271 1.6021103858947754 0.09734603762626648
Score: 0.062296830117702484 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 49.90338134765625 3.4001121520996094 -2.226658582687378 1.5800336599349976 3.669950008392334 1.4760971069335938 4.6628923416137695
Score: 0.06139324605464935 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.323225021362305 4.585121154785156 -1.920985460281372 1.637823462486267 4.030694007873535 1.4772640466690063 1.5080606937408447
Score: 0.05932244285941124 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 10.024811744689941 -24.898359298706055 -2.9867196083068848 1.7644388675689697 3.5874361991882324 1.4208316802978516 2.186455011367798
Score: 0.05912954360246658 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 11.487140655517578 -39.62729263305664 -1.7347015142440796 1.7163633108139038 4.156590461730957 1.585281491279602 1.5086714029312134
Score: 0.05905677750706673 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.03917121887207 -35.834388732910156 -2.063420057296753 1.6655954122543335 4.491277694702148 1.6026533842086792 0.606808066368103
Score: 0.05845373868942261 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 13.277681350708008 -36.57684326171875 -1.6717344522476196 1.789272665977478 3.8840253353118896 1.5578129291534424 3.5583765506744385
Score: 0.05833565816283226 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 43.92588424682617 3.8846235275268555 -1.1732866764068604 1.595349669456482 4.394635200500488 1.5331621170043945 1.5534254312515259
Score: 0.058329079300165176 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 17.428329467773438 5.0283002853393555 -1.7205578088760376 1.6866207122802734 4.237159252166748 1.4997098445892334 4.016435146331787
Score: 0.05825193598866463 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 16.242631912231445 3.9779069423675537 -1.964543342590332 1.5864938497543335 3.5656704902648926 1.4531915187835693 2.6516034603118896
Score: 0.05771841108798981 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 44.19087219238281 4.872636795043945 -1.09139084815979 1.5942375659942627 4.2114129066467285 1.4554805755615234 0.7120574116706848
Score: 0.0560033917427063 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.7386882305145264 -0.7220480442047119 -1.66816246509552 1.6266593933105469 3.807314395904541 1.4936296939849854 3.736264944076538
Score: 0.05531634762883186 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 9.287145614624023 -24.271333694458008 -3.0235791206359863 1.7469733953475952 3.3330025672912598 1.5198943614959717 1.6807003021240234
Score: 0.05523638799786568 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 48.84174728393555 4.4576096534729 -2.163522243499756 1.6806389093399048 3.7483577728271484 1.5432995557785034 3.5151045322418213
Score: 0.05507976561784744 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.607977867126465 -36.27744674682617 -1.721278190612793 1.7569206953048706 4.274120807647705 1.6337261199951172 3.6620073318481445
Score: 0.05400526151061058 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 44.392784118652344 4.688777923583984 -1.0525884628295898 1.6361507177352905 4.284383773803711 1.470247745513916 3.1192493438720703
Score: 0.05348449945449829 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 62.10361099243164 -5.05856990814209 -1.4213227033615112 1.5947391986846924 3.6374289989471436 1.5661916732788086 1.4223400354385376
Score: 0.05190030857920647 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 0.26235073804855347 -1.3546535968780518 -1.621525764465332 1.5953373908996582 3.745227575302124 1.5244694948196411 1.3110616207122803
Score: 0.05153675004839897 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 49.869232177734375 2.722078323364258 -2.2548859119415283 1.5365194082260132 3.641709089279175 1.4783856868743896 1.588834285736084
Score: 0.05082601308822632 Label: 0 Box(x_c, y_c, z_c, w, l, h, -rot): 12.777623176574707 -34.28659439086914 -1.9247856140136719 1.6251102685928345 3.746472120285034 1.4717823266983032 2.111936330795288
